dataset_name,embed_size,n_layers,batch_size,decay,epochs,eval_epoch,learning_rate,top_k,create_time,result,eval_ndcg,eval_map,eval_precision,eval_recall,score
1m,512,1,4096,0.001,40,-1,0.0025,5,2024-03-28_03-19-18,successful,0.0659391788698633,0.0171186126296762,0.0593046357615894,0.031477974753257,
1m,512,1,4096,0.1,40,-1,0.0025,5,2024-03-28_03-22-43,successful,0.0559891802521079,0.0111640929839803,0.0528145695364238,0.0206940613325635,
1m,512,1,4096,0.001,40,-1,0.01,5,2024-03-28_03-26-08,successful,0.0619649331270439,0.0154935777757011,0.056523178807947,0.0301314202136411,
1m,512,1,4096,0.1,40,-1,0.01,5,2024-03-28_03-29-33,successful,0.0558710376731779,0.0111163576507154,0.052682119205298,0.0204967348616626,
1m,512,1,4096,0.001,40,-1,0.1,5,2024-03-28_03-32-58,successful,0.041367361092706,0.0093582207623032,0.0383112582781457,0.0174854654169343,
1m,512,1,4096,0.1,40,-1,0.1,5,2024-03-28_03-36-23,successful,0.0561226944237515,0.0111875303326908,0.053046357615894,0.0206934997213181,
1m,512,1,10000,0.001,40,-1,0.0025,5,2024-03-28_03-39-48,successful,0.0667307452551147,0.0174532643847736,0.0603311258278145,0.0332721781290062,
1m,512,1,10000,0.1,40,-1,0.0025,5,2024-03-28_03-42-39,successful,0.0559804170975913,0.0112145876677455,0.0527152317880794,0.0202981961052664,
1m,512,1,10000,0.001,40,-1,0.01,5,2024-03-28_03-45-30,successful,0.0633313619560335,0.0163891570479941,0.0571192052980132,0.0304792979551114,
1m,512,1,10000,0.1,40,-1,0.01,5,2024-03-28_03-48-20,successful,0.0559745254005054,0.0113006557444652,0.0527152317880794,0.0206400237716946,
1m,512,1,10000,0.001,40,-1,0.1,5,2024-03-28_03-51-11,successful,0.0414487186578568,0.0091551351377625,0.0385761589403973,0.0175657659975032,
1m,512,1,10000,0.1,40,-1,0.1,5,2024-03-28_03-54-02,successful,0.0563169633943673,0.0113836448855761,0.0528807947019867,0.0206493761657372,
1m,512,1,50000,0.001,40,-1,0.0025,5,2024-03-28_03-56-53,successful,0.0669431717904301,0.0170619325889074,0.0602317880794702,0.0317495714679664,
1m,512,1,50000,0.1,40,-1,0.0025,5,2024-03-28_03-59-53,successful,0.0559562941762066,0.0112473096610705,0.0525496688741721,0.0205977850275154,
1m,512,1,50000,0.001,40,-1,0.01,5,2024-03-28_04-02-49,successful,0.065606499700839,0.0166106063081988,0.0600331125827814,0.0319154814638814,
1m,512,1,50000,0.1,40,-1,0.01,5,2024-03-28_04-05-53,successful,0.0558505953579589,0.0112953335010192,0.0524834437086092,0.0207037973355098,
1m,512,1,50000,0.001,40,-1,0.1,5,2024-03-28_04-09-01,successful,0.0559387650761328,0.0146130623509656,0.0498013245033112,0.0276052682152671,
1m,512,1,50000,0.1,40,-1,0.1,5,2024-03-28_04-12-05,successful,0.0556696942338294,0.0112217738203852,0.0522847682119205,0.0205180929508408,
1m,512,2,4096,0.001,40,-1,0.0025,5,2024-03-28_04-15-01,successful,0.0686720150844129,0.0175071079641308,0.0624503311258278,0.0328330747860922,
1m,512,2,4096,0.1,40,-1,0.0025,5,2024-03-28_04-19-20,successful,0.0553227196845014,0.0111289144865096,0.0519536423841059,0.0203391938026504,
1m,512,2,4096,0.001,40,-1,0.01,5,2024-03-28_04-23-41,successful,0.0672273130967321,0.017143364451805,0.06,0.0315000304503577,
1m,512,2,4096,0.1,40,-1,0.01,5,2024-03-28_04-28-01,successful,0.0554065844600372,0.0111294685142935,0.0520860927152317,0.0203473186188798,
1m,512,2,4096,0.001,40,-1,0.1,5,2024-03-28_04-32-20,successful,0.0546111621399199,0.0140496256022066,0.0494039735099337,0.026374083386278,
1m,512,2,4096,0.1,40,-1,0.1,5,2024-03-28_04-36-39,successful,0.0560349045600119,0.0112442636515405,0.0529139072847682,0.0206681135804247,
1m,512,2,10000,0.001,40,-1,0.0025,5,2024-03-28_04-41-00,successful,0.0689716854725436,0.0176281131322499,0.0622847682119205,0.0332864906073779,
1m,512,2,10000,0.1,40,-1,0.0025,5,2024-03-28_04-44-02,successful,0.055640218453296,0.0113114033789799,0.0517549668874172,0.0199602607557715,
1m,512,2,10000,0.001,40,-1,0.01,5,2024-03-28_04-47-03,successful,0.0681577860188666,0.0177654015684755,0.0612582781456953,0.0325084514655084,
1m,512,2,10000,0.1,40,-1,0.01,5,2024-03-28_04-50-06,successful,0.0560958972148916,0.0114422183806069,0.0524834437086092,0.0206342759206297,
1m,512,2,10000,0.001,40,-1,0.1,5,2024-03-28_04-53-09,successful,0.0545830297565773,0.0135507831406544,0.0501655629139072,0.0257358330692214,
1m,512,2,10000,0.1,40,-1,0.1,5,2024-03-28_04-56-12,successful,0.0557937097407446,0.0113412970552028,0.0521523178807947,0.0203803055412941,
1m,512,2,50000,0.001,40,-1,0.0025,5,2024-03-28_04-59-13,successful,0.0682218334981697,0.0165156356199371,0.0623509933774834,0.0303349125318062,
1m,512,2,50000,0.1,40,-1,0.0025,5,2024-03-28_05-01-48,successful,0.0556221750108848,0.0113672533515213,0.0516556291390728,0.0202512065624496,
1m,512,2,50000,0.001,40,-1,0.01,5,2024-03-28_05-04-23,successful,0.0676316339669226,0.0168869310515126,0.0613245033112582,0.0324545057755198,
1m,512,2,50000,0.1,40,-1,0.01,5,2024-03-28_05-06-57,successful,0.05516507993943,0.0110795355792441,0.0517218543046357,0.0202143506436709,
1m,512,2,50000,0.001,40,-1,0.1,5,2024-03-28_05-09-33,successful,0.0645528214941856,0.0160980318994272,0.0581125827814569,0.030184311387652,
1m,512,2,50000,0.1,40,-1,0.1,5,2024-03-28_05-12-08,successful,0.0555819933967621,0.0113049058744143,0.0517218543046357,0.0201989824854311,
1m,512,3,4096,0.001,40,-1,0.0025,5,2024-03-28_05-14-43,successful,0.0696498899859353,0.0170855663377624,0.0643708609271523,0.0318884562006225,
