2024-03-29 12:12:36,634 INFO    Thread-16 :19852 [wandb_setup.py:_flush():76] Current SDK version is 0.16.5
2024-03-29 12:12:36,635 INFO    Thread-16 :19852 [wandb_setup.py:_flush():76] Configure stats pid to 19852
2024-03-29 12:12:36,635 INFO    Thread-16 :19852 [wandb_setup.py:_flush():76] Loading settings from C:\Users\ee303\.config\wandb\settings
2024-03-29 12:12:36,635 INFO    Thread-16 :19852 [wandb_setup.py:_flush():76] Loading settings from C:\Users\ee303\hanaa\test\wandb\settings
2024-03-29 12:12:36,635 INFO    Thread-16 :19852 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'recsys', 'entity': 'recsystem', 'root_dir': 'C:\\Users\\ee303\\hanaa\\test', 'run_id': '6yoxlk6e', 'sweep_param_path': 'C:\\Users\\ee303\\hanaa\\test\\wandb\\sweep-khnew2s7\\config-6yoxlk6e.yaml', 'sweep_id': 'khnew2s7'}
2024-03-29 12:12:36,635 INFO    Thread-16 :19852 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-03-29 12:12:36,635 INFO    Thread-16 :19852 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': '..\\wp_test.py', 'program_abspath': 'C:\\Users\\ee303\\hanaa\\wp_test.py', 'program': 'C:\\Users\\ee303\\hanaa\\wp_test.py'}
2024-03-29 12:12:36,635 INFO    Thread-16 :19852 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-03-29 12:12:36,635 INFO    Thread-16 :19852 [wandb_init.py:_log_setup():527] Logging user logs to C:\Users\ee303\hanaa\test\wandb\run-20240329_121236-6yoxlk6e\logs\debug.log
2024-03-29 12:12:36,635 INFO    Thread-16 :19852 [wandb_init.py:_log_setup():528] Logging internal logs to C:\Users\ee303\hanaa\test\wandb\run-20240329_121236-6yoxlk6e\logs\debug-internal.log
2024-03-29 12:12:36,635 INFO    Thread-16 :19852 [wandb_init.py:init():567] calling init triggers
2024-03-29 12:12:36,635 INFO    Thread-16 :19852 [wandb_init.py:init():574] wandb.init called with sweep_config: {'embed_size_list': 1024}
config: {}
2024-03-29 12:12:36,635 INFO    Thread-16 :19852 [wandb_init.py:init():617] starting backend
2024-03-29 12:12:36,635 INFO    Thread-16 :19852 [wandb_init.py:init():621] setting up manager
2024-03-29 12:12:36,639 INFO    Thread-16 :19852 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-03-29 12:12:36,640 INFO    Thread-16 :19852 [wandb_init.py:init():629] backend started and connected
2024-03-29 12:12:36,646 INFO    Thread-16 :19852 [wandb_run.py:_config_callback():1347] config_cb None None {'embed_size_list': 1024}
2024-03-29 12:12:36,646 INFO    Thread-16 :19852 [wandb_init.py:init():721] updated telemetry
2024-03-29 12:12:36,646 INFO    Thread-16 :19852 [wandb_init.py:init():754] communicating run to backend with 90.0 second timeout
2024-03-29 12:12:37,262 INFO    Thread-16 :19852 [wandb_run.py:_on_init():2344] communicating current version
2024-03-29 12:12:37,986 INFO    Thread-16 :19852 [wandb_run.py:_on_init():2353] got version response 
2024-03-29 12:12:37,986 INFO    Thread-16 :19852 [wandb_init.py:init():805] starting run threads in backend
2024-03-29 12:12:40,545 INFO    Thread-16 :19852 [wandb_run.py:_console_start():2323] atexit reg
2024-03-29 12:12:40,545 INFO    Thread-16 :19852 [wandb_run.py:_redirect():2178] redirect: wrap_raw
2024-03-29 12:12:40,545 INFO    Thread-16 :19852 [wandb_run.py:_redirect():2243] Wrapping output streams.
2024-03-29 12:12:40,545 INFO    Thread-16 :19852 [wandb_run.py:_redirect():2268] Redirects installed.
2024-03-29 12:12:40,545 INFO    Thread-16 :19852 [wandb_init.py:init():848] run started, returning control to user process
2024-03-29 12:13:05,545 INFO    Thread-16 :19852 [wandb_run.py:_finish():2052] finishing run recsystem/recsys/6yoxlk6e
2024-03-29 12:13:05,545 INFO    Thread-16 :19852 [wandb_run.py:_atexit_cleanup():2292] got exitcode: 1
2024-03-29 12:13:05,545 INFO    Thread-16 :19852 [wandb_run.py:_restore():2275] restore
2024-03-29 12:13:05,546 INFO    Thread-16 :19852 [wandb_run.py:_restore():2281] restore done
2024-03-29 12:13:12,169 INFO    Thread-16 :19852 [wandb_run.py:_footer_history_summary_info():3920] rendering history
2024-03-29 12:13:12,169 INFO    Thread-16 :19852 [wandb_run.py:_footer_history_summary_info():3952] rendering summary
2024-03-29 12:13:12,171 INFO    Thread-16 :19852 [wandb_run.py:_footer_sync_info():3879] logging synced files
