2024-04-02 10:59:01,242 INFO    StreamThr :32120 [internal.py:wandb_internal():86] W&B internal server running at pid: 32120, started at: 2024-04-02 10:59:01.242083
2024-04-02 10:59:01,252 DEBUG   HandlerThread:32120 [handler.py:handle_request():146] handle_request: status
2024-04-02 10:59:01,252 INFO    WriterThread:32120 [datastore.py:open_for_write():87] open: C:\Users\ee303\hanaa\test\wandb\run-20240402_105901-s1042i0a\run-s1042i0a.wandb
2024-04-02 10:59:01,252 DEBUG   SenderThread:32120 [sender.py:send():379] send: header
2024-04-02 10:59:01,272 DEBUG   SenderThread:32120 [sender.py:send():379] send: run
2024-04-02 10:59:01,884 INFO    SenderThread:32120 [dir_watcher.py:__init__():211] watching files in: C:\Users\ee303\hanaa\test\wandb\run-20240402_105901-s1042i0a\files
2024-04-02 10:59:01,884 INFO    SenderThread:32120 [sender.py:_start_run_threads():1124] run started: s1042i0a with start time 1712026741.242083
2024-04-02 10:59:01,884 DEBUG   HandlerThread:32120 [handler.py:handle_request():146] handle_request: check_version
2024-04-02 10:59:01,884 DEBUG   SenderThread:32120 [sender.py:send_request():406] send_request: check_version
2024-04-02 10:59:02,534 DEBUG   HandlerThread:32120 [handler.py:handle_request():146] handle_request: run_start
2024-04-02 10:59:02,549 DEBUG   HandlerThread:32120 [system_info.py:__init__():26] System info init
2024-04-02 10:59:02,549 DEBUG   HandlerThread:32120 [system_info.py:__init__():41] System info init done
2024-04-02 10:59:02,549 INFO    HandlerThread:32120 [system_monitor.py:start():194] Starting system monitor
2024-04-02 10:59:02,549 INFO    SystemMonitor:32120 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-04-02 10:59:02,549 INFO    HandlerThread:32120 [system_monitor.py:probe():214] Collecting system info
2024-04-02 10:59:02,549 INFO    SystemMonitor:32120 [interfaces.py:start():190] Started cpu monitoring
2024-04-02 10:59:02,549 INFO    SystemMonitor:32120 [interfaces.py:start():190] Started disk monitoring
2024-04-02 10:59:02,549 INFO    SystemMonitor:32120 [interfaces.py:start():190] Started gpu monitoring
2024-04-02 10:59:02,549 INFO    SystemMonitor:32120 [interfaces.py:start():190] Started memory monitoring
2024-04-02 10:59:02,565 INFO    SystemMonitor:32120 [interfaces.py:start():190] Started network monitoring
2024-04-02 10:59:02,580 DEBUG   HandlerThread:32120 [system_info.py:probe():150] Probing system
2024-04-02 10:59:02,580 DEBUG   HandlerThread:32120 [system_info.py:_probe_git():135] Probing git
2024-04-02 10:59:02,612 DEBUG   HandlerThread:32120 [system_info.py:_probe_git():143] Probing git done
2024-04-02 10:59:02,612 DEBUG   HandlerThread:32120 [system_info.py:probe():198] Probing system done
2024-04-02 10:59:02,612 DEBUG   HandlerThread:32120 [system_monitor.py:probe():223] {'os': 'Windows-10-10.0.22631-SP0', 'python': '3.9.19', 'heartbeatAt': '2024-04-02T02:59:02.580873', 'startedAt': '2024-04-02T02:59:01.242083', 'docker': None, 'cuda': None, 'args': ('1m', '--embed_size', '1024', '--n_layers', '1', '--batch_size', '4096', '--epochs', '3', '--learning_rate', '0.0025', '--decay', '0.001'), 'state': 'running', 'program': 'C:\\Users\\ee303\\hanaa\\test\\hyper.py', 'codePathLocal': 'hyper.py', 'codePath': 'hyper.py', 'git': {'remote': 'https://github.com/hanaaeldeeb/test.git', 'commit': '284993f0e36763498e96eee2b944cc699cf68906'}, 'email': None, 'root': 'C:/Users/ee303/hanaa/test', 'host': 'DESKTOP-4ON9ST2', 'username': 'ee303', 'executable': 'C:\\Users\\ee303\\anaconda3\\envs\\recommenders\\python.exe', 'cpu_count': 16, 'cpu_count_logical': 24, 'cpu_freq': {'current': 2100.0, 'min': 0.0, 'max': 2100.0}, 'cpu_freq_per_core': [{'current': 2100.0, 'min': 0.0, 'max': 2100.0}], 'disk': {'/': {'total': 930.6826133728027, 'used': 179.97838592529297}}, 'gpu': 'NVIDIA GeForce RTX 4090', 'gpu_count': 1, 'gpu_devices': [{'name': 'NVIDIA GeForce RTX 4090', 'memory_total': 25757220864}], 'memory': {'total': 63.77809524536133}}
2024-04-02 10:59:02,612 INFO    HandlerThread:32120 [system_monitor.py:probe():224] Finished collecting system info
2024-04-02 10:59:02,612 INFO    HandlerThread:32120 [system_monitor.py:probe():227] Publishing system info
2024-04-02 10:59:02,612 DEBUG   HandlerThread:32120 [system_info.py:_save_conda():207] Saving list of conda packages installed into the current environment
2024-04-02 10:59:02,893 INFO    Thread-16 :32120 [dir_watcher.py:_on_file_created():271] file/dir created: C:\Users\ee303\hanaa\test\wandb\run-20240402_105901-s1042i0a\files\conda-environment.yaml
2024-04-02 10:59:05,080 DEBUG   HandlerThread:32120 [system_info.py:_save_conda():222] Saving conda packages done
2024-04-02 10:59:05,081 INFO    HandlerThread:32120 [system_monitor.py:probe():229] Finished publishing system info
2024-04-02 10:59:05,081 DEBUG   SenderThread:32120 [sender.py:send():379] send: files
2024-04-02 10:59:05,081 INFO    SenderThread:32120 [sender.py:_save_file():1390] saving file wandb-metadata.json with policy now
2024-04-02 10:59:05,190 DEBUG   HandlerThread:32120 [handler.py:handle_request():146] handle_request: python_packages
2024-04-02 10:59:05,190 DEBUG   SenderThread:32120 [sender.py:send_request():406] send_request: python_packages
2024-04-02 10:59:05,190 DEBUG   HandlerThread:32120 [handler.py:handle_request():146] handle_request: stop_status
2024-04-02 10:59:05,190 DEBUG   SenderThread:32120 [sender.py:send_request():406] send_request: stop_status
2024-04-02 10:59:05,190 DEBUG   HandlerThread:32120 [handler.py:handle_request():146] handle_request: internal_messages
2024-04-02 10:59:05,627 DEBUG   SenderThread:32120 [sender.py:send():379] send: telemetry
2024-04-02 10:59:05,924 INFO    Thread-16 :32120 [dir_watcher.py:_on_file_modified():288] file/dir modified: C:\Users\ee303\hanaa\test\wandb\run-20240402_105901-s1042i0a\files\conda-environment.yaml
2024-04-02 10:59:05,924 INFO    Thread-16 :32120 [dir_watcher.py:_on_file_created():271] file/dir created: C:\Users\ee303\hanaa\test\wandb\run-20240402_105901-s1042i0a\files\requirements.txt
2024-04-02 10:59:05,924 INFO    Thread-16 :32120 [dir_watcher.py:_on_file_created():271] file/dir created: C:\Users\ee303\hanaa\test\wandb\run-20240402_105901-s1042i0a\files\wandb-metadata.json
2024-04-02 10:59:05,939 INFO    wandb-upload_0:32120 [upload_job.py:push():131] Uploaded file C:\Users\ee303\AppData\Local\Temp\tmpl94128amwandb\zr6vhb9c-wandb-metadata.json
2024-04-02 10:59:06,642 DEBUG   HandlerThread:32120 [handler.py:handle_request():146] handle_request: status_report
2024-04-02 10:59:11,676 DEBUG   HandlerThread:32120 [handler.py:handle_request():146] handle_request: status_report
2024-04-02 10:59:12,960 INFO    Thread-16 :32120 [dir_watcher.py:_on_file_created():271] file/dir created: C:\Users\ee303\hanaa\test\wandb\run-20240402_105901-s1042i0a\files\output.log
2024-04-02 10:59:14,986 INFO    Thread-16 :32120 [dir_watcher.py:_on_file_modified():288] file/dir modified: C:\Users\ee303\hanaa\test\wandb\run-20240402_105901-s1042i0a\files\output.log
2024-04-02 10:59:17,423 DEBUG   HandlerThread:32120 [handler.py:handle_request():146] handle_request: status_report
2024-04-02 10:59:20,193 DEBUG   HandlerThread:32120 [handler.py:handle_request():146] handle_request: internal_messages
2024-04-02 10:59:20,208 DEBUG   HandlerThread:32120 [handler.py:handle_request():146] handle_request: stop_status
2024-04-02 10:59:20,208 DEBUG   SenderThread:32120 [sender.py:send_request():406] send_request: stop_status
2024-04-02 10:59:21,025 INFO    Thread-16 :32120 [dir_watcher.py:_on_file_modified():288] file/dir modified: C:\Users\ee303\hanaa\test\wandb\run-20240402_105901-s1042i0a\files\output.log
2024-04-02 10:59:22,425 DEBUG   HandlerThread:32120 [handler.py:handle_request():146] handle_request: status_report
2024-04-02 10:59:26,980 DEBUG   SenderThread:32120 [sender.py:send():379] send: exit
2024-04-02 10:59:26,980 INFO    SenderThread:32120 [sender.py:send_exit():586] handling exit code: 0
2024-04-02 10:59:26,980 INFO    SenderThread:32120 [sender.py:send_exit():588] handling runtime: 24
2024-04-02 10:59:26,980 INFO    SenderThread:32120 [sender.py:_save_file():1390] saving file wandb-summary.json with policy end
2024-04-02 10:59:26,980 INFO    SenderThread:32120 [sender.py:send_exit():594] send defer
2024-04-02 10:59:26,981 DEBUG   HandlerThread:32120 [handler.py:handle_request():146] handle_request: defer
2024-04-02 10:59:26,981 INFO    HandlerThread:32120 [handler.py:handle_request_defer():172] handle defer: 0
2024-04-02 10:59:26,981 DEBUG   SenderThread:32120 [sender.py:send_request():406] send_request: defer
